Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
88,1.601388889,42.01333333,2025,Abies alba*,evergreen,gymnosperm,0.270740741,12.08333333,NA,261.2577,1.932702,23.192424,1.743202,12.2,12.2,54.25,651,177.0833333,2.339125915,NA
88,1.601388889,42.01333333,2025,Pinus uncinata*,evergreen,gymnosperm,0.250364204,14,NA,261.2577,1.932702,23.192424,1.743202,12.2,12.2,54.25,651,177.0833333,2.339125915,NA
89,1.931388889,42.01416667,1225,Fagus sylvatica*,deciduous,angiosperm,0.275634372,19.13442623,NA,427.634,1.887958,22.655496,1.887958,12.5,12.5,70.41666667,845,179.25,3.108149416,NA
90,-8.261944444,42.01722222,275,Pinus pinaster*,evergreen,gymnosperm,0.417234927,20.34185185,NA,795.1457,1.562865,18.75438,1.562865,10.16666667,10.16666667,143.1666667,1718,161.6666667,7.633772306,NA
90,-8.261944444,42.01722222,275,Pinus radiata (P.insignis)*,evergreen,gymnosperm,0.22,7.3,NA,795.1457,1.562865,18.75438,1.562865,10.16666667,10.16666667,143.1666667,1718,161.6666667,7.633772306,NA
90,-8.261944444,42.01722222,275,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,0.176888889,11.25142857,NA,795.1457,1.562865,18.75438,1.562865,10.16666667,10.16666667,143.1666667,1718,161.6666667,7.633772306,NA
91,8.265555556,42.01916667,1075,Abies alba*,evergreen,gymnosperm,0.142923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,8.265555556,42.01916667,1075,Castanea sativa (C. vesca)*,deciduous,angiosperm,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,8.265555556,42.01916667,1075,Fagus sylvatica*,deciduous,angiosperm,0.06475,NA,112.9000083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,8.265555556,42.01916667,1075,Other broadleaves,deciduous,angiosperm,0.099055556,NA,16.889275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,8.265555556,42.01916667,1075,Pinus nigra*,evergreen,gymnosperm,0.529890724,38.62178571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,-1.000277778,42.02083333,925,Fagus sylvatica*,deciduous,angiosperm,0.471721612,31.14578755,NA,190.1556,1.915823,22.989876,1.207432,12.71666667,12.71666667,45.75,549,183.4166667,1.990006384,NA
