Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
551,52.48333333,52.05722222,Tilia cordata,deciduous,angiosperm,Deciduous angiosperm,0.1005,6.9,NA,NA,14.58571429,2.29740843,23.42265984,ICP
551,52.48333333,52.05722222,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.353571429,23.9,NA,NA,14.58571429,2.29740843,23.42265984,ICP
552,52.725,52.06722222,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.206744604,19.33555556,NA,NA,14.74285714,2.012326137,23.45115456,ICP
553,52.36666667,52.0675,Populus tremula*,deciduous,angiosperm,Deciduous angiosperm,0.412,NA,NA,NA,14.78571429,2.036918441,23.35142304,ICP
553,52.36666667,52.0675,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.234661458,20.16071429,77.28364747,16.33578207,14.78571429,2.036918441,23.35142304,ICP
554,52.01666667,52.06805556,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.236848485,20.01538462,NA,NA,14.47142857,2.416135353,23.39416512,ICP
554,52.01666667,52.06805556,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.116141936,8.489622642,NA,NA,14.47142857,2.416135353,23.39416512,ICP
554,52.01666667,52.06805556,Sorbus aucuparia,deciduous,angiosperm,Deciduous angiosperm,0.068,8.15,NA,NA,14.47142857,2.416135353,23.39416512,ICP
554,52.01666667,52.06805556,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.197562444,18.78649533,NA,NA,14.47142857,2.416135353,23.39416512,ICP
555,52.77361111,52.06972222,Acer platanoides,deciduous,angiosperm,Deciduous angiosperm,0.0865,NA,NA,NA,14.85714286,1.917393098,23.45115456,ICP
555,52.77361111,52.06972222,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.109,NA,NA,NA,14.85714286,1.917393098,23.45115456,ICP
555,52.77361111,52.06972222,"Ulmus minor (U. campestris, U. carpinifolia)",deciduous,angiosperm,Deciduous angiosperm,0.105,NA,NA,NA,14.85714286,1.917393098,23.45115456,ICP
555,52.77361111,52.06972222,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.215818182,21.55777778,NA,NA,14.85714286,1.917393098,23.45115456,ICP
556,52.34388889,52.07,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.393,NA,NA,NA,14.68571429,2.107726758,23.37991776,ICP
556,52.34388889,52.07,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.312392593,24.5,NA,NA,14.68571429,2.107726758,23.37991776,ICP
556,52.34388889,52.07,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.202818182,NA,15.89625,NA,14.68571429,2.107726758,23.37991776,ICP
556,52.34388889,52.07,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.3026,NA,34.9482,NA,14.68571429,2.107726758,23.37991776,ICP
557,52.04944444,52.07055556,Alnus glutinosa*,deciduous,angiosperm,Deciduous angiosperm,0.300615385,NA,20.78837,NA,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.367333333,27,21.29574167,2.147181054,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.232012048,36.4,NA,NA,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.182,NA,NA,NA,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Fraxinus excelsior*,deciduous,angiosperm,Deciduous angiosperm,0.265782443,25.625,NA,NA,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Populus tremula*,deciduous,angiosperm,Deciduous angiosperm,0.365090909,NA,NA,NA,14.47142857,2.350693826,23.39416512,ICP
557,52.04944444,52.07055556,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.377344828,28.72162162,NA,NA,14.47142857,2.350693826,23.39416512,ICP
