H,Database
22.06692607,ICP
NA,ICP
18.08863636,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
12.3,ICP
10.78,ICP
11.36296296,ICP
8.8,ICP
7.7,ICP
14.02368421,ICP
12.43015873,ICP
2.6,ICP
23.47990654,ICP
10.325,ICP
9.629166667,ICP
19.42139037,ICP
13.95,ICP
14.7,ICP
10.06304348,ICP
10.87,ICP
9.176,ICP
12.69047619,ICP
22.12352941,ICP
23.2,ICP
19.36428571,ICP
22.7,ICP
7.4,ICP
25.57317073,ICP
6.55,ICP
23.3,ICP
14.22142857,ICP
18.53225806,ICP
10.3,ICP
NA,ICP
23.8,ICP
22.09230769,ICP
18.80714286,ICP
26.8,ICP
18.56585366,ICP
23.575,ICP
31.6,ICP
27.96350365,ICP
25.19,ICP
16.86153846,ICP
24.75102041,ICP
21.84827586,ICP
27.09375,ICP
22.60869565,ICP
30.53333333,ICP
26.65555556,ICP
39.66521739,ICP
17.57777778,ICP
45.15,ICP
39.94701493,ICP
19.08235294,ICP
27.34545455,ICP
26.94705882,ICP
5.611111111,ICP
8.9,ICP
NA,ICP
35.01219512,ICP
20.475,ICP
18.88116592,ICP
15.93333333,ICP
17.24041667,ICP
NA,ICP
NA,ICP
NA,ICP
22.38888889,ICP
25.45771144,ICP
23.60350877,ICP
18.42060302,ICP
NA,ICP
NA,ICP
29.26666667,ICP
22.39871795,ICP
18.49,ICP
20.63203883,ICP
20.32727273,ICP
20.2,ICP
NA,ICP
16.16666667,ICP
NA,ICP
27.525,ICP
19.63333333,ICP
NA,ICP
15.63684211,ICP
18.99047619,ICP
24.175,ICP
11.23333333,ICP
25.11730769,ICP
4.65,ICP
18,ICP
30.3,ICP
27.8,ICP
29.2125,ICP
NA,ICP
23.55313808,ICP
NA,ICP
NA,ICP
22.84191176,ICP
NA,ICP
NA,ICP
NA,ICP
22.16690391,ICP
NA,ICP
16.67906977,ICP
NA,ICP
NA,ICP
17.8625,ICP
NA,ICP
7.206798867,ICP
25.99333333,ICP
31.06071429,ICP
38.35,ICP
20.92222222,ICP
22.84169014,ICP
21.00645161,ICP
17.8,ICP
15.05186722,ICP
10.87222222,ICP
8.8,ICP
11.2,ICP
11.325,ICP
12.8,ICP
12.1231454,ICP
13.3,ICP
10.775,ICP
17.24727273,ICP
18.85568513,ICP
10.1,ICP
28.31111111,ICP
19.6,ICP
33.90141844,ICP
17.26285714,ICP
12.88571429,ICP
16.9,ICP
16.12594937,ICP
7.625,ICP
29.16666667,ICP
32.1011236,ICP
21.26666667,ICP
NA,ICP
14.09831933,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
25.20512821,ICP
NA,ICP
27.80973783,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
27.82973978,ICP
NA,ICP
NA,ICP
36.14157303,ICP
NA,ICP
NA,ICP
12.33900709,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
18.70553506,ICP
NA,ICP
